municipality,rescore,title,h1,url,hasAmount,hasTarget,hasDeadline,strongHit,snippet
"名張市","35","サイトマップ","サイトマップ","https://www.city.nabari.lg.jp/sitemap.html","false","true","true","給付金|手当|奨学金|貸付","交通・公園・都市計画 防災・防犯・消防・行方不明 地域づくり・市民活動 文化・生涯学習 人権・男女共同参画 相談 International Residents がいこくじん の みなさん へ 消費生活 シティプロモーション 子育て 妊娠・出産 子育て支援 予防接種 出会い応援 子どもの健診 保育所(園)・幼稚園・認定こども園・地域型保育 子育てにかかる各種手当／ひとり親・寡婦家庭への支援 小・中学校 奨学金・就学援助 令和8年度なばり子育て支援員研修のご案内 小中一貫教育・"
"鈴鹿市","34","県外（国内）で妊産婦健診等を受診される方へ","県外（国内）で妊産婦健診等を受診される方へ","https://www.city.suzuka.lg.jp/kosodate/ninshin/1002940.html","true","true","true","助成金","ーニング検査や1か月児健康診査の費用について、その一部を助成します。 対象になる健康診査・検査 妊婦一般健康診査（県外受診分） 多胎妊娠の妊婦一般健康診査（県外受診分） 新生児聴覚スクリーニング検査（市外受診分） 産婦健康診査（県外受診分） 1か月児健康診査（市外受診分） 申請期限 それぞれ申請期限が異なりますので、ご注意ください。 妊婦一般健康診査県外受診助成金 健診受診日から1年以内 多胎妊娠の妊婦一般健康診査県外受診助成金 健診受診日から1年以内 新生児聴覚スクリーニン"
"亀山市","31","ホーム","ホーム","https://www.city.kameyama.mie.jp/docs/2021010500012/akiya_bank.html","true","true","true","補助金"," 58,000円/月 売却金額 － 構造・建築年 木造2階・昭和41年 物件情報[PDF：248KB] 地図 外部サイトにリンクします 売却 No95 住所 みどり町 家賃 － 売却金額 2,500万円 構造・建築年 木造2階・昭和64年 物件情報[PDF：477KB] 地図 外部サイトにリンクします 市の制度等の紹介 亀山市空き家情報バンク制度活用促進事業補助金 亀山市内の空き家の有効活用と空き家バンク制度の利用促進を図るため、亀山市空き家情報バンクの登録物件について売買契"
"亀山市","31","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/fukushi/shogai/nenkin/","false","false","true","補助金|給付金|手当|減免","ホーム カテゴリ ライフシーン 高齢者・障がい者福祉 障がい者福祉 保険・年金・税金 保険・年金・税金 ツイート シェア このページを印刷する 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ 国民健康保険の給付 国民健康保険への加入・脱退 国民健康保険税 身体障がい者等に対する軽自動車税種別割の減免について 国民年金 バリアフリー改修に伴う固定資産税の減額制度 サイト内検索 ライフシーン 結婚・離婚 結婚 離婚 結婚支援 相談"
"亀山市","31","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/bunya/life/tetsuzuki/","false","true","true","補助金|給付金|手当","願い 埋火葬 臨時運行許可（仮ナンバー） 自動車臨時運行許可 税金 市役所市民税課を騙る詐欺メールにご注意ください！ Pagamento dos impostos【市税の納付】Shizei no Nōfu 二次元コードを利用した市税の納付ができます！ 保険・年金 インターネットによる公示送達（介護保険料関係） 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ 亀山市の税金・水道料金等がスマートフォンで支払えます！ 介護保険料 国"
"尾鷲市","31","妊婦のための支援給付について","妊婦のための支援給付について","https://www.city.owase.lg.jp/owasewanpaku/0000022525.html","true","true","true","給付金","わんぱく子育てガイド 年齢・対象別で探す 妊娠・出産 支援・相談 あしあと 妊婦のための支援給付について [公開日： 2026年7月14日 ] [更新日： 2026年7月14日 ] ID:22525 お知らせ 令和７年４月より、妊娠期からの切れ目のない支援を行う観点から、子ども・子育て支援法に「妊婦のための支援給付」が創設され、認定を受けた方には、「妊婦支援給付金」が支給されます。なお、「妊婦のための支援給付」は、妊婦への支援を総合的に行うため、妊婦等包括相談支援事業（伴走型"
"名張市","31","下水道","下水道","https://www.city.nabari.lg.jp/020/065/080/","true","true","true","補助金","下水道 下水道使用開始届について 排水設備の点検・清掃などの悪質セールスにご注意を 排水設備工事申請等の手引き 下水道台帳情報提供申請 「公共下水道受益者負担金の賦課対象区域」を定めました 下水道Q＆A 下水道は正しく使いましょう 下水管がつまったとき みんなが下水道を利用すると 快適環境実現のために 水洗化のお願い 水洗化補助金と融資利子助成制度 公共下水道工事の流れ 排水設備について 排水設備工事の流れ 名張市排水設備指定工事店一覧表 排水設備工事は、必ず「責任技術者試験"
"鈴鹿市","31","多様な集団活動事業の利用支援事業","多様な集団活動事業の利用支援事業","https://www.city.suzuka.lg.jp/kosodate/kosodateshien/1002950.html","true","true","true","補助金"," 印刷 大きな文字で印刷 概要 子ども・子育て支援法に基づく地域子ども・子育て支援事業として、市の定める基準に適合した施設を市内在住の小学校就学前のこどもが利用する場合に、保護者に対し利用料の一部を補助します。 ※すでに幼児教育・保育の無償化の対象となっていることから、保育所（園）、認定こども園、幼稚園等を利用している場合は対象となりません。 対象施設など 補助金の交付を受けるには、利用する施設などの事業者が、事前に基準適合審査の申請を行い、集団活動時間や従業者の配置基準が対"
"尾鷲市","30","自立支援係","自立支援係","https://www.city.owase.lg.jp/soshiki/1-11-3-0-0_10.html","false","true","true","手当|医療費助成|減免","中間案)に関するパブリックコメント結果 [2024年3月12日] 障害者手帳 [2023年11月10日] 日常生活用具給付事業 [2023年9月15日] 障害福祉サービスのご案内（障害者の日常生活及び社会生活を総合的に支援するための法律によるもの） [2022年10月11日] 障がい者手帳のしおり【障がい者福祉制度の紹介】 [2022年10月7日] 障がい者医療費助成制度 [2022年10月1日] 第5期紀北地域障がい者福祉計画（令和3年度~令和5年度）〔福祉保健課〕 [20"
"名張市","30","市の窓口一覧","市の窓口一覧","https://www.city.nabari.lg.jp/130/000/index.html","true","true","false","手当|奨学金","市計画、景観形成、旧細川邸やなせ宿の管理運営、交通安全対策、放置自転車対策、総合的な交通体系の計画・調整、建築基準法に基づく諸手続、開発行為等の指導・協議、被災建築物等の応急危険度判定 教育委員会事務局 教育総務室 0595-63-7849（教育総務担当） 0595-63-7873（施設担当・学事担当） 教育委員会の会議、総合調整・企画、入学・転校、通学区、奨学金、給食、学校の管理 教育委員会事務局 学校教育室 0595-63-7882 学校教育に関する指導一般、教育相談 教"
"名張市","30","名張市役所等の窓口及び電話における受付時間の短縮について","名張市役所等の窓口及び電話における受付時間の短縮について","https://www.city.nabari.lg.jp/s003/110/010/100/400/201502051376.html","true","true","true","手当","たします。）を行い、令和7年11月1日から本格実施（午前9時00分～午後4時30分）を予定しています。 上記のほか、市立病院や保育所、各市民センターなどの施設について変更はありません。 オンライン手続・公式SNSを通じた情報発信 次に掲げる手続等についてはインターネットからオンラインで行うことができ、順次拡大を進めています。 マイナンバーカード受取予約 児童手当の手続 保育施設等の利用申込（ 休日保育 、 取下げ（辞退） ） 妊娠の届出 市立図書館の予約申込 （図書利用カード"
"名張市","30","ひとり親・寡婦家庭への支援","ひとり親・寡婦家庭への支援","https://www.city.nabari.lg.jp/030/100/","true","false","false","給付金|医療費助成|貸付","ひとり親・寡婦家庭への支援 自立支援教育訓練給付金事業 高等職業訓練促進給付金等事業 母子・父子福祉資金貸付事業 寡婦福祉資金貸付事業 ひとり親家庭福祉協力員 母子・父子自立支援員 ひとり親家庭等日常生活支援事業 一人親家庭等医療費助成制度について 一人親家庭等の方が病院などで受診したときに、医療費の自己負担額を助成する制度、手続きなどのご案内です。"
"名張市","30","医療助成制度","医療助成制度","https://www.city.nabari.lg.jp/050/100/010/","true","true","true","医療費助成","医療助成制度 様式 県外で受診した際に提出していただく福祉医療費領収証明書の様式が福祉医療費助成申請書へ変わりました。 一人親家庭等医療費助成制度について 一人親家庭等の方が病院などで受診したときに、医療費の自己負担額を助成する制度、手続きなどのご案内です。 子ども医療費助成制度について 子どもが病院などで受診したときに、医療費の自己負担額を助成する制度、手続きなどのご案内です。 医療機関での窓口負担が無料となる対象年齢を拡大します（令和5年9月受診分から） 令和5年9月受診"
"名張市","30","介護保険事業者向け情報","介護保険事業者向け情報","https://www.city.nabari.lg.jp/050/100/050/110/","true","true","true","支援金","介護保険事業者向け情報 居宅介護支援事業所における特定事業所集中減算について 総合事業における事業所評価加算について 事故発生時の対応について 介護保険サービス事業所等物価高騰対応支援金について 令和7年度地域密着型サービス事業者等集団指導について 介護事業所の指定申請等の「電子申請・届出システム」の運用開始について 令和8年度処遇改善加算について サービスコード表および単位数表マスタについて 令和8年度地域密着型サービス事業者等集団指導について"
"鈴鹿市","30","商業振興課","商業振興課","https://www.city.suzuka.lg.jp/shisei/1011225/shinsei/1009713/1009715.html","true","true","true","補助金","商業振興課 ページ番号1009715 更新日 2026年4月6日 印刷 大きな文字で印刷 商業振興課 創業促進補助金 補助金等交付申請書（Word） （Word 17.8KB） 補助金等交付申請書（PDF） （PDF 57.2KB） 対象経費一覧表（Excel） （Excel 19.4KB） 対象経費一覧表（手書き用） （PDF 81.0KB） 研修報告書（PDF） （PDF 65.1KB） 研修報告書 （Word 20.8KB） 事業計画書 （Excel 16.0KB） 申"
"鈴鹿市","30","新生児聴覚スクリーニング検査費用助成","新生児聴覚スクリーニング検査費用助成","https://www.city.suzuka.lg.jp/kosodate/ninshin/1002930.html","true","true","true","助成金","赤ちゃんのために検査を受けましょう。 新生児聴覚スクリーニング検査の費用助成のご案内 （Word 323.9KB） 対象者 新生児聴覚スクリーニング検査を受けた新生児（生後28日以内）をもつ、検査受診日に鈴鹿市に住民票がある保護者 対象の検査 次のいずれかの検査です。 自動聴性脳幹反応検査（自動ABR） 聴性脳幹反応検査（ABR） 耳音響放射検査（OAE） 助成金額 3,000円（新生児一人につき1回） ※3,000円に満たない場合は、実費になります。 手続き方法 市内委託医"
"鈴鹿市","30","若年がん患者在宅療養支援事業","若年がん患者在宅療養支援事業","https://www.city.suzuka.lg.jp/fukushi/kenshin/1016557.html","true","true","true","助成金","できるよう、在宅サービスの利用や福祉用具の購入にかかる費用の一部を助成します。 対象者 次のすべての要件に該当する方 40歳未満の市内在住の方 がん患者（医師に一般的に認められている医学的知見に基づき回復の見込みがない状態に至ったと判断された方） 在宅療養生活の支援や介護が必要な方 他の制度において同様の助成または給付を受けることができない方 対象サービスと助成金額 対象サービスと助成金額 サービス種類 内容 利用上限額 助成上限額 訪問介護 身体介助、生活援助、通院等乗降介"
"亀山市","29","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/kosodate/","false","false","false","補助金|助成金|一時金|手当","ホーム カテゴリ ライフシーン 妊娠・出産・子育て 妊娠・出産・子育て ツイート シェア このページを印刷する 妊娠 かめやまマタニティ・サポート119 亀山市特定不妊治療費助成事業（着床前胚染色体異数性検査（PGT-A）を含む） 児童手当について 母子保健サービス 出産・子育て応援事業 亀山市特定不妊治療費助成事業（保険適用終了後の特定不妊治療費に対する助成回数追加） 亀山市特定不妊治療費（先進医療）助成金 母子健康手帳および母子保健のしおり（妊婦健康診査票）の交付について"
"亀山市","29","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/shoku-jukyo/jukyo/","false","true","true","補助金|給付金","ホーム カテゴリ ライフシーン しごと・住まい 引っ越し・住居 引っ越し・住居 ツイート シェア このページを印刷する 住まい 市営住宅入居者募集（現在募集していません） アルミニウム合金造のカーポート等の確認申請手続きについて 空き家情報バンク 浄化槽整備事業補助金制度 市営住宅 亀山市空家等管理活用支援法人の指定に関する審査基準の公表 亀山市地域住宅計画 大規模盛土造成地マップの公表について 狭あい道路 住宅取得支援事業 亀山市移住促進のための空き家リフォーム支援事業 省"
"亀山市","29","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/bunya/business/nyusatsu/kekka/","false","true","true","手当|貸付","ホーム カテゴリ 分野 事業者向け情報 入札・契約 入札結果 入札結果 ツイート シェア このページを印刷する 入札公告（令和8年2月2日）亀山市市有財産貸付け（自動販売機の設置）募集 【選定結果】（令和6年8月26日）亀山市橋梁長寿命化修繕計画策定業務委託（公募型プロポーザル） 【選定結果】入札公告（令和6年6月10日）亀山市中学校給食調理等業務委託（公募型プロポーザル） 【選定結果】入札公告（令和6年5月10日）第3次亀山市総合計画等策定業務委託（公募型プロポーザル） 【"
"尾鷲市","29","事業者関係","事業者関係","https://www.city.owase.lg.jp/category/7-27-3-0-0-0-0-0-0-0.html","false","true","true","補助金|医療費助成|奨学金|免除","市への寄附 ふれあいバス 保険・年金 医療 ごみ 水道 し尿処理・浄化槽 環境・衛生・エネルギー ペット・動物 斎場・墓地 住まい 道路・河川 公園 オンライン申請 防災 防災基礎知識と備え 防災に関するお知らせ 防災の取り組み 各種お知らせ 防災情報 緊急情報リンク集 申請・相談・支援 関係機関 健康・福祉・医療 健康 介護・福祉・障がい 保険・年金 福祉医療費助成 子育て・教育 子育て・教育に関するお知らせ 尾鷲わんぱく子育てガイド 産業・観光・食 農林水産業 海洋深層水"
"亀山市","28","令和9年度市民参画協働事業推進補助金の交付希望団体を募集します","ホーム","https://www.city.kameyama.mie.jp/docs/2016052300034/","true","true","true","補助金|助成金","ホーム カテゴリ 分野 くらしの情報 地域づくり・市民協働 市民活動 ホーム カテゴリ 組織 市民文化部 まちづくり協働課 市民協働グループ ホーム カテゴリ トップページ掲載 新着情報 ホーム カテゴリ トップページ掲載 募集情報 ホーム 組織 市民文化部 まちづくり協働課 市民協働グループ 令和9年度市民参画協働事業推進補助金の交付希望団体を募集します ツイート シェア このページを印刷する 公開日 2025年06月13日 更新日 2026年06月25日 市民生活の活性化"
"亀山市","28","亀山市在宅重度知的障がい者等住宅改修工事補助金のご案内","ホーム","https://www.city.kameyama.mie.jp/docs/2016033100172/20090616_jyutaku_kaisyu.html","true","true","true","補助金|手当","ホーム カテゴリ 分野 くらしの情報 健康・医療・福祉 障がい者福祉 ホーム カテゴリ 組織 健康福祉部 地域福祉課 障がい者支援グループ ホーム カテゴリ ライフシーン 高齢者・障がい者福祉 障がい者福祉 手当・助成・補助金 ホーム 組織 健康福祉部 地域福祉課 障がい者支援グループ 亀山市在宅重度知的障がい者等住宅改修工事補助金のご案内 ツイート シェア このページを印刷する 公開日 2016年04月01日 更新日 2021年03月20日 自宅での生活を安全で快適にするた"
"亀山市","28","新型コロナウイルス感染症「生活困窮者自立支援金」のご案内","ホーム","https://www.city.kameyama.mie.jp/docs/2022121000019/","true","true","true","支援金|貸付"," 分野 くらしの情報 健康・医療・福祉 生活困窮者自立支援・生活保護 ホーム カテゴリ 分野 くらしの情報 手続き・相談 各種相談 生活・心配ごと相談 ホーム カテゴリ 組織 健康福祉部 地域福祉課 福祉総務グループ ホーム カテゴリ トップページ掲載 新着情報 ホーム 組織 健康福祉部 地域福祉課 福祉総務グループ 新型コロナウイルス感染症「生活困窮者自立支援金」のご案内 ツイート シェア このページを印刷する 公開日 2022年12月13日 変更箇所：「申請期間」の申請期"
"亀山市","28","新型コロナウイルス感染症「生活困窮者自立支援金」の申請期間を延長します","ホーム","https://www.city.kameyama.mie.jp/docs/2021061600167/","true","true","true","支援金|貸付"," 分野 くらしの情報 健康・医療・福祉 生活困窮者自立支援・生活保護 ホーム カテゴリ 分野 くらしの情報 手続き・相談 各種相談 生活・心配ごと相談 ホーム カテゴリ 組織 健康福祉部 地域福祉課 福祉総務グループ ホーム カテゴリ トップページ掲載 新着情報 ホーム 組織 健康福祉部 地域福祉課 福祉総務グループ 新型コロナウイルス感染症「生活困窮者自立支援金」の申請期間を延長します ツイート シェア このページを印刷する 公開日 2022年09月20日 変更箇所 申請受"
"名張市","28","5.非課税・減免","5.非課税・減免","https://www.city.nabari.lg.jp/s087/030/100/020/070/201502052470.html","true","true","true","貸付|減免","5.非課税・減免 更新日：2017年3月10日 （1）非課税の適用を受けようとするとき 地方税法で規定している用途非課税に該当する固定資産（例：公共の用に供する道路・宗教施設・教育施設・福祉施設など）については、所有者本人より「非課税申請書」を提出していただくことにより、非課税の適用が受けられます。 ただし、所有者が物件を有料で貸付けている場合は、非課税の適用は受けられません（添付書類で、無料で使用させていることを証明する契約書等の提出が必要となります）。 ※申請要件、添付書"
"名張市","28","令和4年度子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯以外分）","令和4年度子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯以外分）","https://www.city.nabari.lg.jp/s026/040/060/20220526144421.html","true","true","true","給付金|手当","令和4年度子育て世帯に対する子育て世帯生活支援特別給付金（ひとり親世帯以外分） 更新日：2022年7月6日 令和4年度子育て世帯生活支援特別給付金（ひとり親世帯以外分）のご案内 新型コロナウイルス感染症による影響が長期化する中で、食費等の物価高騰等に直面する低所得の子育て世帯を支援するため、子育て世帯生活支援特別給付金（ひとり親世帯以外の低所得の子育て世帯分）を給付いたします。 給付金の対象者 令和4年3月31日時点で18歳未満（特別児童扶養手当を受給されている児童は20歳未"
"名張市","28","自立支援教育訓練給付金事業","自立支援教育訓練給付金事業","https://www.city.nabari.lg.jp/s026/040/030/070/201502052407.html","true","true","true","給付金|手当","自立支援教育訓練給付金事業 更新日：2020年8月3日 自立支援教育訓練給付金事業とは ひとり親家庭の父または母が、就職に有利な資格や技能を取得するため、厚生労働大臣の指定する教育訓練講座を受講し、修了した場合、費用の一部を支給します。 注：支給については、事前相談が必要です。受講申込み後では、受付できません。 対象者 市内にお住まいのひとり親家庭の父または母で、次のすべての要件を満たしている方 児童扶養手当を受給している、または同様の所得水準にあるかた 就業経験、技能、資格"
"名張市","28","子ども・子育て支援金制度の開始について","子ども・子育て支援金制度の開始について","https://www.city.nabari.lg.jp/s018/090/010/050/20260312170834.html","true","true","true","支援金|手当","子ども・子育て支援金制度の開始について 更新日：2026年7月15日 内容 令和8年4月から、児童手当など子育て支援の拡充を図るため、子ども・子育て支援金制度を開始します。 この制度は、全ての世代や企業の皆様から支援金を拠出いただき、子育て施策の拡充に充てるもので、子どもや子育て世帯を社会全体で支える制度です。 支援金については、公的医療保険料に合わせて拠出いただきます。 詳しくは以下の関連ファイルをご覧ください。 ・お問い合わせ窓口 こども家庭庁コールセンター 0120－3"
"鈴鹿市","28","子育て・教育","子育て・教育","https://www.city.suzuka.lg.jp/kosodate/index.html","false","true","true","給付金|手当|貸付","覚スクリーニング検査費用助成 低体重児出生届 小児科医の子育て相談（出産前後小児保健指導事業） 新生児訪問・こんにちは赤ちゃん訪問・未熟児訪問 妊産婦・乳幼児家庭訪問 すくすく広場 すくすくファミリー教室 【開催情報】すくすく広場・すくすくファミリー教室 未熟児養育医療の給付 県外（国内）で妊産婦健診等を受診される方へ 多胎児を妊娠中の方へ 出産・子育て応援給付金事業 妊婦のための支援給付事業 こども・子育て支援 すずっこオンライン意見箱（いけんばこ） 鈴鹿市こども条例 「共"
"鈴鹿市","28","福祉医療課","福祉医療課","https://www.city.suzuka.lg.jp/shisei/1011225/shinsei/1009706/1009710.html","true","false","true","助成金|医療費助成","福祉医療課 ページ番号1009710 更新日 2025年8月5日 印刷 大きな文字で印刷 福祉医療課 後期高齢者医療制度 後期高齢者医療保険料納付方法変更申出書 （PDF 101.8KB） こども医療費の助成 同意書 （PDF 126.9KB） 福祉医療費受給資格 認定申請・変更届出書 （PDF 173.0KB） 福祉医療費助成金振込先口座変更届 （PDF 163.1KB） 第三者の行為による被害届 （福祉医療費） （PDF 115.2KB） 福祉医療費受給資格証再交付申請書"
"鈴鹿市","28","幼児教育・保育の無償化","幼児教育・保育の無償化","https://www.city.suzuka.lg.jp/kosodate/azukeru/1012778.html","true","true","true","免除","前のこども ※市町村民税非課税世帯に限り、0歳から2歳までのこどもも、保育料が無償化となります。 手続き 不要 ※通園送迎費、食材料費、行事費などは、これまでどおり負担いただきます。ただし、年収360万円未満相当世帯のこどもと第3子以降（保育所などを利用する最年長のこどもを第1子とカウント）のこどもについては、食材料費のうち副食(おかず・おやつなど)の費用が免除されます。免除対象者には別途通知します。 案内チラシ（保育所、認定こども園（保育）） （PDF 529.8KB） 幼"
"鈴鹿市","28","障がい者のNHK放送受信料の減免","障がい者のNHK放送受信料の減免","https://www.city.suzuka.lg.jp/fukushi/shogai/1003244/1003250.html","true","true","true","減免|免除","障がい者のNHK放送受信料の減免 ページ番号1003250 更新日 2024年1月23日 印刷 大きな文字で印刷 障がい者手帳を持っている世帯に対して、NHK放送受信料の減免制度があります。 身体障害者手帳・療育手帳・精神障害者保健福祉手帳のいずれかを持って、障がい福祉課へ申請してください。 半額免除 下記1～4の障がい者手帳等級のいずれかを持っている方がNHK放送受信料契約者かつ世帯主の場合 身体障害者手帳の障がい種別が視覚か聴覚の全等級 身体障害者手帳の障がい種別が視覚か"
"亀山市","27","ホーム","ホーム","https://www.city.kameyama.mie.jp/categories/scene/konin/","false","false","true","補助金|給付金|手当","ホーム カテゴリ ライフシーン 結婚・離婚 結婚・離婚 ツイート シェア このページを印刷する 結婚 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ 国民健康保険への加入・脱退 国民年金 戸籍の届出 住民異動の届出 離婚 離婚と子どもをめぐるルールが新しくなります JR通勤定期割引制度 国民年金手続きの電子申請について 年金生活者支援給付金制度 国民年金の受給 公的年金制度のしくみ ひとり親家庭への支援 国民健康保険への加入・"
