status	organization	title	url
200	さつま町	さつま町 さつま町物価高騰対策支援給付金事業（障害福祉施設分）	https://www.satsuma-net.jp/kenko_fukushi/fukushi/3/9817.html
200	さつま町	さつま町 短期人間ドック助成事業	https://www.satsuma-net.jp/kenko_fukushi/kokikoreishairyo/3691.html
200	さつま町	さつま町 一部負担金の減免制度（後期高齢者医療制度）	https://www.satsuma-net.jp/kenko_fukushi/kokikoreishairyo/2/3663.html
200	さつま町	さつま町 自立支援給付事業（障害福祉サービス）	https://www.satsuma-net.jp/kenko_fukushi/shogaishashien/1/3777.html
200	さつま町	さつま町 重度心身障害者医療費助成制度	https://www.satsuma-net.jp/kenko_fukushi/shogaishashien/2/3776.html
200	さつま町	さつま町 施設等利用給付認定	https://www.satsuma-net.jp/kosodate/mokuteki/azukeru/hoikuen/7916.html
200	さつま町	さつま町 英語検定補助	https://www.satsuma-net.jp/kosodate/mokuteki/syoutyuugakkoujouhou/8127.html
200	さつま町	さつま町 奨学資金返還支援補助金制度	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/gakkou_josei/8122.html
200	さつま町	さつま町 奨学資金貸与制度	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/gakkou_josei/8120.html
200	さつま町	さつま町 ひとり親家庭等医療費助成	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/iryouhi_josei/7894.html
200	さつま町	さつま町 出産準備応援給付金	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/kyufukin/8022.html
200	さつま町	さつま町 妊婦のための支援給付事業	https://www.satsuma-net.jp/kosodate/mokuteki/teatejosei/kyufukin/8047.html
200	さつま町	さつま町 さつま町物価高騰対策支援給付金事業（介護保険施設分）	https://www.satsuma-net.jp/kenko_fukushi/kaigohoken/9822.html
200	さつま町	さつま町 さつま町物価高騰対策支援給付金事業（医療機関分）	https://www.satsuma-net.jp/kenko_fukushi/kenko_iryo/9821.html
200	さつま町	さつま町 家賃補助	https://www.satsuma-net.jp/teiju/ijushien/2/index.html
200	さつま町	さつま町 生活福祉資金貸付制度における緊急小口資金等の特例貸付について	https://www.satsuma-net.jp/kenko_fukushi/fukushi/3/3656.html
200	長島町	長島町 がん患者への助成	https://www.town.nagashima.lg.jp/livelihood/li0060/
200	長島町	長島町 国民健康保険の給付	https://www.town.nagashima.lg.jp/livelihood/li0018/
200	長島町	長島町 子ども医療費給付制度	https://www.town.nagashima.lg.jp/livelihood/li0062/
200	長島町	長島町 ひとり親家庭等医療の助成	https://www.town.nagashima.lg.jp/livelihood/li0028/
200	長島町	長島町 高等職業訓練給付金事業	https://www.town.nagashima.lg.jp/livelihood/li0029/
200	長島町	長島町 後期高齢者医療保険の給付	https://www.town.nagashima.lg.jp/livelihood/li0044/
200	長島町	長島町 母子・父子・寡婦福祉金の貸付	https://www.town.nagashima.lg.jp/livelihood/li0027/
200	長島町	長島町 福祉用具購入費の支給	https://www.town.nagashima.lg.jp/livelihood/li0041/
200	湧水町	湧水町 湧水町定住促進家賃助成事業補助金のお知らせ	https://www.town.yusui.kagoshima.jp/site/yusuilife/6333.html
200	湧水町	湧水町 がん患者アピアランスケア支援事業（旧 がん患者ウィッグ購入費助成事業）	https://www.town.yusui.kagoshima.jp/soshiki/30/6518.html
200	湧水町	湧水町 湧水町アーモンド振興事業（苗木購入補助）	https://www.town.yusui.kagoshima.jp/soshiki/32/1923.html
200	湧水町	湧水町 出会いサポートセンター鹿児島登録助成金	https://www.town.yusui.kagoshima.jp/soshiki/34/4029.html
200	湧水町	湧水町 妊婦のための支援給付（国の妊婦支援給付金）	https://www.town.yusui.kagoshima.jp/soshiki/30/9059.html
200	湧水町	湧水町 産婦健康診査費用助成	https://www.town.yusui.kagoshima.jp/soshiki/30/9048.html
200	湧水町	湧水町 新生児聴覚検査費用助成	https://www.town.yusui.kagoshima.jp/soshiki/30/9044.html
200	湧水町	湧水町 母子父子寡婦福祉資金貸付	https://www.town.yusui.kagoshima.jp/soshiki/30/9113.html
200	湧水町	湧水町 新生児子育て応援給付金	https://www.town.yusui.kagoshima.jp/soshiki/30/9115.html
200	湧水町	湧水町 ひとり親家庭医療費助成制度	https://www.town.yusui.kagoshima.jp/soshiki/30/9106.html
200	湧水町	湧水町 児童扶養手当	https://www.town.yusui.kagoshima.jp/soshiki/30/9104.html
200	湧水町	湧水町 子ども医療費給付事業	https://www.town.yusui.kagoshima.jp/soshiki/30/8040.html
200	湧水町	湧水町 児童手当	https://www.town.yusui.kagoshima.jp/soshiki/30/9084.html
200	湧水町	湧水町 障害者福祉車両等購入補助事業	https://www.town.yusui.kagoshima.jp/site/yusuilife/925.html
200	湧水町	湧水町 自動車税(種別割・環境性能割) ・軽自動車税の減免	https://www.town.yusui.kagoshima.jp/site/yusuilife/927.html
200	湧水町	湧水町 障害者自立支援給付サービス事業	https://www.town.yusui.kagoshima.jp/site/yusuilife/953.html
200	湧水町	湧水町 タクシー利用券による助成制度	https://www.town.yusui.kagoshima.jp/site/kanko/5944.html
200	湧水町	湧水町 湧水町学力向上検定料助成事業のお知らせ	https://www.town.yusui.kagoshima.jp/soshiki/33/2505.html
200	湧水町	湧水町 湧水町婚活イベント参加費補助金のお知らせ	https://www.town.yusui.kagoshima.jp/soshiki/34/7738.html
200	湧水町	湧水町 介護人材育成支援事業補助金について	https://www.town.yusui.kagoshima.jp/soshiki/31/8090.html
200	湧水町	湧水町 湧水町移住定住促進新築住宅取得補助金	https://www.town.yusui.kagoshima.jp/soshiki/34/7659.html
200	湧水町	湧水町 浄化槽設置整備事業補助金	https://www.town.yusui.kagoshima.jp/soshiki/29/10460.html
200	湧水町	湧水町 湧水町医療介護保育従事者奨学金	https://www.town.yusui.kagoshima.jp/soshiki/31/7307.html
200	湧水町	湧水町 各種手当の支給	https://www.town.yusui.kagoshima.jp/soshiki/31/882.html
200	湧水町	湧水町 重度障害者等日常生活用具給付事業	https://www.town.yusui.kagoshima.jp/soshiki/31/958.html
200	湧水町	湧水町 軽度・中等度難聴児補聴器助成事業	https://www.town.yusui.kagoshima.jp/soshiki/31/869.html
200	湧水町	湧水町 湧水町農業大学校等奨学金	https://www.town.yusui.kagoshima.jp/soshiki/32/3049.html
200	湧水町	湧水町 湧水町狩猟免許等取得補助金	https://www.town.yusui.kagoshima.jp/soshiki/32/1378.html
200	湧水町	湧水町 湧水町露地野菜振興対策事業補助金について	https://www.town.yusui.kagoshima.jp/soshiki/32/414.html
200	湧水町	湧水町 湧水町肉用牛経営改善資金貸付事業	https://www.town.yusui.kagoshima.jp/soshiki/32/425.html
200	湧水町	湧水町 NHK放送受信料の減免	https://www.town.yusui.kagoshima.jp/soshiki/31/449.html
200	湧水町	湧水町 不妊治療費助成事業	https://www.town.yusui.kagoshima.jp/soshiki/30/9039.html
200	湧水町	湧水町 特別児童扶養手当	https://www.town.yusui.kagoshima.jp/soshiki/30/9114.html
200	湧水町	湧水町 JR吉都線利用促進助成事業	https://www.town.yusui.kagoshima.jp/soshiki/28/246.html
200	湧水町	湧水町 【東京圏から移住をお考えの皆様へ】移住支援金制度の御案内	https://www.town.yusui.kagoshima.jp/site/yusuilife/5190.html
200	湧水町	湧水町 妊婦歯科検診費用助成	https://www.town.yusui.kagoshima.jp/soshiki/30/9043.html
200	湧水町	湧水町 令和6年度 学校給食費の無償化の実施について	https://www.town.yusui.kagoshima.jp/soshiki/33/7913.html
200	湧水町	湧水町 移住や起業に関する補助金	https://www.town.yusui.kagoshima.jp/soshiki/34/7952.html
