municipality,score,strong,hasAmount,hasTarget,hasDeadline,title,url,snippet
"牧之原市","40","2","true","true","true","妊娠・出産","https://www.city.makinohara.shizuoka.jp/life/2/11/49/","妊娠・出産 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発信し"
"牧之原市","40","2","true","true","true","ごみ・リサイクル","https://www.city.makinohara.shizuoka.jp/life/1/3/19/","ごみ・リサイクル - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を"
"牧之原市","40","2","true","true","true","税金","https://www.city.makinohara.shizuoka.jp/life/1/2/","税金 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発信していま"
"伊豆の国市","32","2","false","true","true","組織案内","https://www.city.izunokuni.shizuoka.jp/hisyo/shisei/shiyakusho/soshiki/index.html","伊豆の国市／組織案内 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 市政 &gt; 市役"
"伊豆の国市","32","2","false","true","true","伊豆の国市消防団","https://www.city.izunokuni.shizuoka.jp/kiki/kurashi/shobo/shouboudanpage.html","伊豆の国市／伊豆の国市消防団 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; くらし &g"
"菊川市","32","2","false","true","true","組織から探す","https://www.city.kikugawa.shizuoka.jp/shisei/shiyakushoannai/soshiki/index.html","菊川市／組織から探す このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 市政情報 &gt; 市役所案内 &gt; 組織から探す 組織から探す 総務部 総務部調整室 市長公室 総務課 地域支援課 危機管理部 危機管理課 防災強靭化室 企画"
"伊豆の国市","30","1","true","true","true","令和8年度伊豆の国市会計年度任用職員募集","https://www.city.izunokuni.shizuoka.jp/soumu/shisei/saiyo/rinji/documents/rinji.html","伊豆の国市／令和8年度伊豆の国市会計年度任用職員募集 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム"
"伊豆の国市","30","1","true","true","true","令和8年度伊豆の国市会計年度任用職員募集(教育委員会)","https://www.city.izunokuni.shizuoka.jp/soumu/shisei/saiyo/kaikei_kyoiku.html","伊豆の国市／令和8年度伊豆の国市会計年度任用職員募集（教育委員会） このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Langu"
"菊川市","30","1","true","true","true","ふるさと納税","https://www.city.kikugawa.shizuoka.jp/shoukoukankou/hurusatonozei/hurusatonouzei-top.html","菊川市／ふるさと納税 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 市政情報 &gt; ふるさと納税 市政情報 市の概要 市役所案内 広報・広聴 ふるさと納税 入札・契約 市有財産 &nbsp; 統計 菊川市例規集 財政・予算・決算"
"菊川市","30","1","true","true","true","補助事業","https://www.city.kikugawa.shizuoka.jp/nourin/hojyojigyo.html","菊川市／補助事業 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 産業・仕事 &gt; 農業 &gt; 補助事業 産業・仕事 商工業 農業 労働・雇用 お茶 菊川市マスコットキャラクター「きくのん」 ここから本文です。 更新日：202"
"牧之原市","30","1","true","true","true","財政援助団体などに対する監査の結果","https://www.city.makinohara.shizuoka.jp/soshiki/36/622.html","財政援助団体などに対する監査の結果 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度"
"牧之原市","30","1","true","true","true","令和８年度 牧之原市グループウェア・庶務事務システム賃貸借業務公募型プロポーザル","https://www.city.makinohara.shizuoka.jp/soshiki/43/61816.html","令和８年度 牧之原市グループウェア・庶務事務システム賃貸借業務公募型プロポーザル - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の"
"牧之原市","30","1","true","true","true","おかえりプロジェクト","https://www.city.makinohara.shizuoka.jp/site/shouko/","おかえりプロジェクト - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情"
"伊豆の国市","26","2","false","true","false","結婚・離婚","https://www.city.izunokuni.shizuoka.jp/naga_simin/scene/kekkon/index.html","伊豆の国市／結婚・離婚 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 結婚・離婚 ツイー"
"伊豆の国市","26","2","false","true","false","お悔み","https://www.city.izunokuni.shizuoka.jp/naga_simin/scene/okuyami/index.html","伊豆の国市／お悔み このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; お悔み ツイート 更新"
"菊川市","26","2","false","true","false","結婚・離婚","https://www.city.kikugawa.shizuoka.jp/life_scene/kekkon_rikon.html","菊川市／結婚・離婚 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 結婚・離婚 ここから本文です。 更新日：2009年11月1日 結婚・離婚 婚姻届 離婚届 離婚の際に称していた氏を称する届 住所変更 世帯に関する届 届出（国民年金）"
"菊川市","26","2","false","true","false","労働・雇用","https://www.city.kikugawa.shizuoka.jp/sangyou/roudou_koyou/index.html","菊川市／労働・雇用 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 産業・仕事 &gt; 労働・雇用 産業・仕事 商工業 農業 労働・雇用 お茶 菊川市マスコットキャラクター「きくのん」 ここから本文です。 更新日：2025年7月2日"
"伊豆の国市","22","1","false","true","true","くらし","https://www.city.izunokuni.shizuoka.jp/kurashi/index.html","伊豆の国市／くらし このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; くらし ここから本文で"
"伊豆の国市","22","1","false","true","true","事業者向け情報","https://www.city.izunokuni.shizuoka.jp/jigyosha/index.html","伊豆の国市／事業者の方 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 事業者の方 ここか"
"伊豆の国市","22","1","false","true","true","市指定ごみ袋に関する臨時措置について","https://www.city.izunokuni.shizuoka.jp/kankyou/gomibukurorinnjisoti.html","伊豆の国市／市指定ごみ袋に関する臨時措置について このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &"
"伊豆の国市","22","1","false","true","true","区連合会連絡掲示板（令和8年度）","https://www.city.izunokuni.shizuoka.jp/tiiki/jitikai/kuchor8.html","伊豆の国市／区連合会連絡掲示板（令和8年度） このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt"
"伊豆の国市","22","1","false","true","true","新着情報","https://www.city.izunokuni.shizuoka.jp/shinchaku/index.html","伊豆の国市／新着情報 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 新着情報 ここから本"
"伊豆の国市","22","1","false","true","true","ごみ・リサイクル","https://www.city.izunokuni.shizuoka.jp/kankyou/kurashi/gomi/index.html","伊豆の国市／ごみ・リサイクル このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; くらし &g"
"伊豆の国市","22","1","false","true","true","健康・救急","https://www.city.izunokuni.shizuoka.jp/kenkou/kenkou.html","伊豆の国市／健康・救急 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 伊豆の国市 &nbsp; 閉じる 閉じる 検索 &nbsp; メニュー ホーム くらし 健康・福祉 学び・文化 まちづくり 市政 事業者向け情報 いで湯のまち 伊豆の国市の観光情報 ふるさと納税 移住定住 サイト内検索 検索の方法 文字サイズ・色合い変更 音声読上げ Foreign Language ホーム &gt; 健康・福祉 &gt"
"伊豆市","22","1","false","true","true","ごみ・リサイクル","https://www.city.izu.shizuoka.jp/kurashinokensaku/gomi_recycle/index.html","ごみ・リサイクル／伊豆市 公式ポータルサイト 本文へ キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます くらし・ 手続き 子育て・教育 健康・ 医療・福祉 文化・ スポーツ しごと・産業 市政情報 キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます 背景色 文字サイズ 組織から探す ふりがな ルビをけす やさしい日本語 読み上げ Foreign Language Español Português English 한국"
"伊豆市","22","1","false","true","true","妊娠・出産","https://www.city.izu.shizuoka.jp/kurashinokensaku/ninshin_shussan/index.html","妊娠・出産／伊豆市 公式ポータルサイト 本文へ キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます くらし・ 手続き 子育て・教育 健康・ 医療・福祉 文化・ スポーツ しごと・産業 市政情報 キーワード から検索できます ファイル種別 すべて HTML PDF ページID から検索できます 背景色 文字サイズ 組織から探す ふりがな ルビをけす やさしい日本語 読み上げ Foreign Language Español Português English 한국어 中"
"菊川市","22","1","false","true","true","総合トップ情報","https://www.city.kikugawa.shizuoka.jp/sougou.html","菊川市／総合トップ情報 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 総合トップ情報 ここから本文です。 更新日：2014年11月1日 総合トップ情報 菊川駅北まちづくりニュース（vol.7）を発行しました（2026年7月14日） "
"菊川市","22","1","false","true","true","乳幼児のためのママ・パパ救急講習","https://www.city.kikugawa.shizuoka.jp/shoubouhonbu/kfdqq/papa.html","菊川市／乳幼児のためのママ・パパ救急講習 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; イベントカレンダー &gt; 乳幼児のためのママ・パパ救急講習 ここから本文です。 更新日：2026年5月20日 乳幼児のためのママ・パパ救急講"
"菊川市","22","1","false","true","true","その他の情報","https://www.city.kikugawa.shizuoka.jp/sonota.html","菊川市／その他の情報 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; その他の情報 ここから本文です。 更新日：2014年11月1日 その他の情報 菊川駅北まちづくりニュース（vol.7）を発行しました（2026年7月14日） 入札結"
"菊川市","22","1","false","true","true","菊川市文化協会","https://www.city.kikugawa.shizuoka.jp/shakaikyouiku/bunkakyoukai.html","菊川市／菊川市文化協会 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 子育て・教育 &gt; 文化・スポーツ・生涯学習 &gt; 菊川市文化協会 子育て・教育 妊娠・子育て 教育委員会 文化・スポーツ・生涯学習 小中学校 学校給食 "
"菊川市","22","1","false","true","true","ごみの出し方について","https://www.city.kikugawa.shizuoka.jp/kurashi/gomi_recycle/index.html","菊川市／ごみ・リサイクル このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; ごみ・リサイクル くらし 戸籍・住民票 保険・年金 税金 環境 ごみ・リサイクル 上下水道 防災 消防本部&nbsp; 消費生活 住宅 交通・防犯 ペット・動物"
"菊川市","22","1","false","true","true","消防本部","https://www.city.kikugawa.shizuoka.jp/shoubouhonbu/syoubouhonbu.html","菊川市／消防本部 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 消防本部 くらし 戸籍・住民票 保険・年金 税金 環境 ごみ・リサイクル 上下水道 防災 消防本部&nbsp; 消費生活 住宅 交通・防犯 ペット・動物 死亡・火葬・霊"
"菊川市","22","1","false","true","true","福祉・介護","https://www.city.kikugawa.shizuoka.jp/kenkou/fukushi_kaigo/index.html","菊川市／福祉・介護 このサイトではJavaScriptを使用したコンテンツ・機能を提供しています。JavaScriptを有効にするとご利用いただけます。 本文へスキップします。 菊川市 読み上げる 文字サイズ 拡大 標準 縮小 色の変更 Foreign language サイトマップ ご意見・お問い合わせ 検索の方法 検索 メニュー ホーム &gt; 健康・福祉 &gt; 福祉・介護 健康・福祉 健康 福祉・介護 ここから本文です。 更新日：2026年5月21日 福祉・介護 福祉全般 地域福祉計画 社会福祉・生活福"
"御前崎市","22","1","false","true","true","","https://www.city.omaezaki.shizuoka.jp/kurashi/","くらしの情報／御前崎市公式ホームページ 本文へ移動 文字サイズ変更 背景色変更 音声読み上げ サイトマップ 総合トップへ 子どもたちの夢と 希望があふれるまち御前崎 「注目キーワード」 御前崎市役所 〒437-1692 静岡県御前崎市池新田5585番地 電話番号：0537-85-1111（代表） 業務時間：午前8時15分から午後5時 OMAEZAKI-CITY 閲覧支援/Select Language メインメニュー 防災・防犯・消防 Disaster prevention くらし・手続き Living / Pro"
"牧之原市","22","1","false","true","true","くらし・手続き","https://www.city.makinohara.shizuoka.jp/life/1/","くらし・手続き - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発"
"牧之原市","22","1","false","true","true","よくある質問","https://www.city.makinohara.shizuoka.jp/life/sub/2/","よくある質問 - 牧之原市ホームページ ページの先頭です。 メニューを飛ばして本文へ 検索 メニュー 当サイトはjavascrptを使用しています。javascrptの設定を有効にしてご覧ください。 本文へ サイトマップ Foreign language 閲覧補助 背景色 白 黒 青 文字サイズ 標準 拡大 メニュー くらし・手続き 市の暮らしに必要な戸籍や住民票の手続きから、ごみや住まいなどに関する情報を発信しています。 子育て・健康・福祉 市の子育て、健康・福祉に関する施設、支援・助成制度などに関する情報を発信"
