# kagoshima-official-coverage-001 URL status
checkedAt	2026-07-18T04:12:11.310Z
ok	73/73
slug	status	url	title
kagoshima-official-001-018-2026	200	https://www.city.kagoshima.lg.jp/kosodate/kodomofuku/kosodate/kosodate/teate/tokubetsu.html	鹿児島市 特別児童扶養手当
kagoshima-official-001-019-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/kosodate/teate/jose/index.html	鹿児島市 妊娠高血圧症候群（妊娠中毒症）等に対する助成
kagoshima-official-001-020-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/kosodate/teate/haraimodoshi/haraimodohi.html	鹿児島市 妊婦健診費用の払い戻し（県外で受診する場合）
kagoshima-official-001-021-2026	200	https://www.city.kagoshima.lg.jp/kankyo/kankyo/hozen/kurashi/sekatsukankyo/joka/hojo.html	鹿児島市 合併処理浄化槽設置費補助金交付制度
kagoshima-official-001-022-2026	200	https://www.city.kagoshima.lg.jp/kosodate/kodomofuku/kosodate/kosodate/hitorioya/jigyo.html	鹿児島市 母子家庭等自立支援給付金事業
kagoshima-official-001-023-2026	200	https://www.city.kagoshima.lg.jp/kosodate/boshihoken/kosodate/ninshin/teate/mijukuji/index.html	鹿児島市 未熟児養育医療
kagoshima-official-001-024-2026	200	https://www.city.kanoya.lg.jp/kokanri/kyoiku/kosodate/shien/childseat.html	鹿屋市 チャイルドシートの無料貸出
kagoshima-official-001-025-2026	200	https://www.city.kanoya.lg.jp/kokanri/kyoiku/kosodate/sonohoka/muryokashidashi.html	鹿屋市 移動式赤ちゃんの駅（テント等）の無料貸出
kagoshima-official-001-026-2026	200	https://www.city.kanoya.lg.jp/sizei/kurashi/zekin/kejidoshaze/genmen.html	鹿屋市 軽自動車税減免
kagoshima-official-001-027-2026	200	https://www.city.kanoya.lg.jp/jidou/kyoiku/kosodate/teate/jidoteate.html	鹿屋市 児童手当
kagoshima-official-001-028-2026	200	https://www.city.kanoya.lg.jp/jidou/kyoiku/kosodate/teate/jidofuyoteate.html	鹿屋市 児童扶養手当
kagoshima-official-001-029-2026	200	https://www.city.kanoya.lg.jp/kokanri/kyoiku/kosodate/sonohoka/okurimono.html	鹿屋市 鹿屋市かわいい孫への贈り物事業
kagoshima-official-001-030-2026	200	https://www.city.kanoya.lg.jp/kigyou/sangyo/shokogyo/kigyoyuchi/sokushinhojokin.html	鹿屋市 鹿屋市工場等立地促進補助金
kagoshima-official-001-031-2026	200	https://www.city.kanoya.lg.jp/syokunou/sangyo/shokogyo/6jisangyo/urerusyouhindukuri.html	鹿屋市 鹿屋市商品開発支援事業補助金
kagoshima-official-001-032-2026	200	https://www.city.kanoya.lg.jp/syoukoushinkou/sangyo/shokogyo/hojokin/shikinhoshoryo.html	鹿屋市 鹿屋市中小企業資金保証料補助金
kagoshima-official-001-033-2026	200	https://www.city.kanoya.lg.jp/syoukoushinkou/sangyo/shokogyo/hojokin/shikinrishi.html	鹿屋市 鹿屋市中小企業資金利子補給金
kagoshima-official-001-034-2026	200	https://www.city.kanoya.lg.jp/syougai/kenko/fukushi/sonota/teate.html	鹿屋市 障がい者（児）手当
kagoshima-official-001-035-2026	200	https://www.city.kanoya.lg.jp/gakumu/kyoiku/kyoiku/shiensedo/enjo.html	鹿屋市 就学援助費
kagoshima-official-001-036-2026	200	https://www.city.kanoya.lg.jp/kenkou/kannri/josanshi_syougakukin.html	鹿屋市 大隅地域で助産師を目指す学生への奨学金制度
kagoshima-official-001-037-2026	200	https://www.city.kanoya.lg.jp/boshi/kenko/ninsanpu_nyuyoji.html	鹿屋市 妊産婦健診等
kagoshima-official-001-038-2026	200	https://www.city.kanoya.lg.jp/chikushin/sangyo/chikusan/tousuu.html	鹿屋市 繁殖雌牛の頭数を増やしたいときは
kagoshima-official-001-039-2026	200	https://www.city.kanoya.lg.jp/jidou/kyoiku/kosodate/shien/shikin.html	鹿屋市 母子父子寡婦福祉資金貸付金制度
kagoshima-official-001-040-2026	200	https://www.city.kanoya.lg.jp/kenkan/kyoiku/kosodate/shien/mijukuji.html	鹿屋市 未熟児の養育医療給付制度
kagoshima-official-001-041-2026	200	https://www.city.kanoya.lg.jp/hoiku/kyoiku/kosodate/shisetsu/mushoka.html	鹿屋市 幼児教育・保育の無償化
kagoshima-official-001-042-2026	200	https://www.city.makurazaki.lg.jp/site/ijyu/11314.html	枕崎市 Ｕ・Iターン移住者の住宅取得への補助制度
kagoshima-official-001-043-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/5330.html	枕崎市 ひとり親家庭医療費
kagoshima-official-001-044-2026	200	https://www.city.makurazaki.lg.jp/site/ijyu/14432.html	枕崎市 移住支援金制度
kagoshima-official-001-045-2026	200	https://www.city.makurazaki.lg.jp/site/ijyu/15647.html	枕崎市 空き家バンク利用促進事業補助金
kagoshima-official-001-046-2026	200	https://www.city.makurazaki.lg.jp/soshiki/fukushi/5329.html	枕崎市 更生医療と育成医療
kagoshima-official-001-047-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/21570.html	枕崎市 子ども医療費給付制度
kagoshima-official-001-048-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/416.html	枕崎市 就学援助制度
kagoshima-official-001-049-2026	200	https://www.city.makurazaki.lg.jp/soshiki/fukushi/5328.html	枕崎市 重度心身障害者医療費
kagoshima-official-001-050-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/5348.html	枕崎市 特別支援教育就学奨励制度
kagoshima-official-001-051-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/22221.html	枕崎市 枕崎市産後ケア事業
kagoshima-official-001-052-2026	200	https://www.city.makurazaki.lg.jp/soshiki/kyousou/23790.html	枕崎市 枕崎市奨学金返還支援補助金
kagoshima-official-001-053-2026	200	https://www.city.makurazaki.lg.jp/site/kosodate/19832.html	枕崎市 枕崎市不妊治療費助成事業
kagoshima-official-001-054-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/sumai_tochi/1868.html	阿久根市 がけ地近接等危険住宅移転事業補助金
kagoshima-official-001-055-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/2/6337.html	阿久根市 阿久根市移住促進レンタカー補助金
kagoshima-official-001-056-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/2/5047.html	阿久根市 阿久根市空き家・空き店舗改修事業補助金
kagoshima-official-001-057-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/2/5917.html	阿久根市 阿久根市空き家バンク利用促進補助金
kagoshima-official-001-058-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/1397.html	阿久根市 阿久根市奨学金制度
kagoshima-official-001-059-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/sumai_tochi/josei_hojo/6929.html	阿久根市 管理不全空家等解体撤去事業補助金
kagoshima-official-001-060-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/sumai_tochi/josei_hojo/1873.html	阿久根市 危険空家等解体撤去事業補助金
kagoshima-official-001-061-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/5613.html	阿久根市 給付型奨学金制度
kagoshima-official-001-062-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/25/zeikin/keijidoshazei/1668.html	阿久根市 軽自動車税の減免
kagoshima-official-001-063-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/deai_kekkon/6882.html	阿久根市 結婚新生活支援事業補助金
kagoshima-official-001-064-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/hitorioya/hitorioyakateiziritsusienkyuhukinzigyo/5003.html	阿久根市 高等職業訓練促進給付金等事業
kagoshima-official-001-065-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/1934.html	阿久根市 児童手当
kagoshima-official-001-066-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/1935.html	阿久根市 児童扶養手当
kagoshima-official-001-067-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/shiminkatsudo/1362.html	阿久根市 地域色(ちいきいろ)づくり事業補助金
kagoshima-official-001-068-2026	200	https://www.city.akune.lg.jp/kurashi_tetsuzuki/2/3195.html	阿久根市 地元企業就労者賃貸住宅家賃支援補助金
kagoshima-official-001-069-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/1953.html	阿久根市 特別児童扶養手当
kagoshima-official-001-070-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/6795.html	阿久根市 妊産婦交通費助成金
kagoshima-official-001-071-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/6797.html	阿久根市 不妊治療等交通費助成金
kagoshima-official-001-072-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/5863.html	阿久根市 子ども医療費助成制度
kagoshima-official-001-073-2026	200	https://www.city.akune.lg.jp/kosodate_kyoiku/teate_josei/1401.html	阿久根市 濱風ゆめみらい奨学金制度
