municipality,score,priority,title,url,updatedAt
葛尾村,4,low,"住宅を新築等するときには建築工事届の提出が必要です",https://www.katsurao.org/soshiki/3/juutaku01.html,"2024年11月15日"
葛尾村,3,low,"健康・福祉",https://www.katsurao.org/life/8/,""
葛尾村,3,low,"健康・福祉",https://www.katsurao.org/life/8/index-2.html,""
葛尾村,3,low,"国民健康保険・後期高齢者医療保険・介護保険の保険税（料）及び一部負担金免除措置について",https://www.katsurao.org/soshiki/2/itibuhutankinmenzyo.html,"2023年3月1日"
葛尾村,2,low,"復興公営住宅（恵下越団地）の入居者一般募集について",https://www.katsurao.org/soshiki/3/egenokosi.html,"2026年7月1日"
葛尾村,2,low,"農業委員会",https://www.katsurao.org/soshiki/5/,""
葛尾村,-7,low,"葛尾村移住支援員募集について",https://www.katsurao.org/soshiki/21/ijushien.html,"2026年7月7日"
葛尾村,-8,low,"高齢者保健福祉計画・第8期介護保険事業計画について",https://www.katsurao.org/soshiki/2/kaigokeikaku.html,"2021年5月24日"
葛尾村,-8,low,"高齢者保健福祉計画・第9期介護保険事業計画の策定について",https://www.katsurao.org/soshiki/2/keikaku9.html,"2024年4月23日"
新地町,33,strong,"手当",https://www.shinchi-town.jp/life/1/9/114/,""
新地町,31,strong,"義援金・支援金・弔慰金",https://www.shinchi-town.jp/site/fukkou/list24-40.html,""
新地町,15,low,"福田若者定住促進住宅 入居者募集中！",https://www.shinchi-town.jp/soshiki/10/wakamonoteijujutaku01.html,"2026年3月20日"
新地町,14,low,"新地町の子育て支援",https://www.shinchi-town.jp/site/kosodate/list27-140.html,""
新地町,12,low,"住宅・転居",https://www.shinchi-town.jp/life/1/35/103/,""
新地町,12,low,"助成・相談",https://www.shinchi-town.jp/life/1/4/17/,""
新地町,11,low,"町営住宅",https://www.shinchi-town.jp/life/1/10/33/,""
新地町,11,low,"助成制度",https://www.shinchi-town.jp/life/1/14/45/,""
新地町,11,low,"子育て",https://www.shinchi-town.jp/life/1/35/100/,""
新地町,11,low,"高齢・介護",https://www.shinchi-town.jp/life/1/35/104/,""
新地町,10,low,"保健福祉課",https://www.shinchi-town.jp/soshiki/7/,"令和5年5月8日"
新地町,8,low,"障がい者福祉",https://www.shinchi-town.jp/life/1/9/,""
新地町,8,low,"新型コロナウイルス感染症関連「マル経融資」（小規模事業者経営改善資金）",https://www.shinchi-town.jp/site/covid-19/marukeiyushi.html,"2020年4月15日"
新地町,8,low,"子育て支援サイト",https://www.shinchi-town.jp/site/kosodate/index-2.html,"2019年9月6日"
新地町,8,low,"新地町に移住・定住しよう！",https://www.shinchi-town.jp/site/shinchiiju/sinnchimatiniijuuteijuu1.html,"2025年4月1日"
新地町,6,low,"住宅",https://www.shinchi-town.jp/life/1/10/,""
新地町,6,low,"予防接種",https://www.shinchi-town.jp/life/1/4/15/,""
新地町,6,low,"住宅再建",https://www.shinchi-town.jp/site/fukkou/list24-38.html,""
新地町,6,low,"健康・福祉",https://www.shinchi-town.jp/site/kosodate/list27-49.html,""
新地町,5,low,"老人福祉施設",https://www.shinchi-town.jp/life/1/18/55/,""
新地町,5,low,"妊娠・出産",https://www.shinchi-town.jp/life/1/3/,""
新地町,5,low,"妊娠・出産",https://www.shinchi-town.jp/life/1/35/99/,""
新地町,5,low,"子育て・教育",https://www.shinchi-town.jp/life/1/4/,""
新地町,5,low,"一部負担金等免除",https://www.shinchi-town.jp/life/1/6/109/,""
新地町,5,low,"介護・高齢者福祉",https://www.shinchi-town.jp/life/1/8/,""
新地町,5,low,"高齢者福祉",https://www.shinchi-town.jp/life/1/8/27/,""
新地町,5,low,"介護予防事業",https://www.shinchi-town.jp/life/1/8/28/,""
新地町,5,low,"介護保険",https://www.shinchi-town.jp/life/1/8/29/,""
新地町,5,low,"障害福祉その他制度",https://www.shinchi-town.jp/life/1/9/113/,""
新地町,5,low,"給付",https://www.shinchi-town.jp/life/2/20/116/,""
新地町,5,low,"農業",https://www.shinchi-town.jp/life/2/21/,""
新地町,5,low,"事業者の皆様へ",https://www.shinchi-town.jp/life/2/index-2.html,""
新地町,5,low,"子育て支援サイト",https://www.shinchi-town.jp/site/kosodate/,"2019年9月6日"
新地町,5,low,"子育て支援サイト",https://www.shinchi-town.jp/site/kosodate/,"2019年9月6日"
新地町,5,low,"子育て関連施設",https://www.shinchi-town.jp/site/kosodate/list27-52.html,""
新地町,4,low,"事業者の皆様へ",https://www.shinchi-town.jp/life/2/,""
新地町,4,low,"農業委員会事務局",https://www.shinchi-town.jp/soshiki/14/,""
新地町,1,low,"町営住宅入居者募集について",https://www.shinchi-town.jp/soshiki/10/tyoueijyutakunyukyobosyu10.html,"2026年7月3日"
飯舘村,40,strong,"子育て応援支援金のお知らせ",https://www.vill.iitate.fukushima.jp/soshiki/11/9656.html,"2023年6月27日"
飯舘村,34,strong,"奨学金制度",https://www.vill.iitate.fukushima.jp/life/3/12/51/,""
飯舘村,32,strong,"医療費助成",https://www.vill.iitate.fukushima.jp/life/2/9/38/,""
飯舘村,13,low,"子育て支援",https://www.vill.iitate.fukushima.jp/life/3/11/,""
飯舘村,10,low,"子育て",https://www.vill.iitate.fukushima.jp/life/1/1/2/,""
飯舘村,9,low,"福祉・介護",https://www.vill.iitate.fukushima.jp/life/2/10/,""
飯舘村,9,low,"健康・福祉",https://www.vill.iitate.fukushima.jp/life/2/index-2.html,""
飯舘村,9,low,"農業・事業者支援",https://www.vill.iitate.fukushima.jp/life/4/16/,""
飯舘村,9,low,"農業生産者の方へ",https://www.vill.iitate.fukushima.jp/life/4/16/65/,""
飯舘村,7,low,"妊娠・出産",https://www.vill.iitate.fukushima.jp/life/1/1/1/,""
飯舘村,7,low,"児童福祉・子育て支援",https://www.vill.iitate.fukushima.jp/life/2/10/42/,""
飯舘村,7,low,"予防接種(健康・医療)",https://www.vill.iitate.fukushima.jp/life/2/9/36/,""
飯舘村,7,low,"各種給付・助成制度",https://www.vill.iitate.fukushima.jp/life/3/11/48/,""
飯舘村,6,low,"高齢者福祉・介護保険・介護予防",https://www.vill.iitate.fukushima.jp/life/2/10/39/,""
飯舘村,6,low,"就農・事業者支援",https://www.vill.iitate.fukushima.jp/life/4/16/63/,""
飯舘村,6,low,"農地・農業経営関連",https://www.vill.iitate.fukushima.jp/life/4/16/64/,""
飯舘村,6,low,"飯舘村介護予防・日常生活支援総合事業サービスコード表(令和8年6月更新)",https://www.vill.iitate.fukushima.jp/soshiki/11/11599.html,"2025年4月1日"
飯舘村,5,low,"農業委員会",https://www.vill.iitate.fukushima.jp/soshiki/7/,""
飯舘村,4,low,"介護保険料",https://www.vill.iitate.fukushima.jp/life/1/3/17/,""
飯舘村,4,low,"土地・住宅",https://www.vill.iitate.fukushima.jp/life/1/5/,""
飯舘村,4,low,"住宅",https://www.vill.iitate.fukushima.jp/life/1/5/23/,""
飯舘村,4,low,"移住",https://www.vill.iitate.fukushima.jp/life/1/5/24/,""
飯舘村,4,low,"健康・福祉",https://www.vill.iitate.fukushima.jp/life/2/,""
飯舘村,4,low,"障がい者福祉",https://www.vill.iitate.fukushima.jp/life/2/10/40/,""
飯舘村,4,low,"介護保険制度",https://www.vill.iitate.fukushima.jp/life/2/8/32/,""
飯舘村,4,low,"子育て・教育",https://www.vill.iitate.fukushima.jp/life/3/,""
飯舘村,4,low,"妊娠・出産(子育て支援）",https://www.vill.iitate.fukushima.jp/life/3/11/44/,""
飯舘村,4,low,"予防接種(子育て支援)",https://www.vill.iitate.fukushima.jp/life/3/11/47/,""
飯舘村,4,low,"子育て・教育",https://www.vill.iitate.fukushima.jp/life/3/index-2.html,""
飯舘村,4,low,"移住・定住",https://www.vill.iitate.fukushima.jp/life/5/22/117/,""
飯舘村,4,low,"住宅",https://www.vill.iitate.fukushima.jp/life/6/25/97/,""
飯舘村,4,low,"令和7年度 企業雇用型地域おこし協力隊 受託事業者募集",https://www.vill.iitate.fukushima.jp/site/iju/11415.html,""
飯舘村,4,low,"農業用ため池ハザードマップ",https://www.vill.iitate.fukushima.jp/soshiki/3/4390.html,"2019年5月31日"
飯舘村,2,low,"飯舘村第10期高齢者福祉計画・第9期保険事業計画について",https://www.vill.iitate.fukushima.jp/soshiki/11/13130.html,"2024年4月1日"
飯舘村,1,low,"健康福祉課",https://www.vill.iitate.fukushima.jp/soshiki/11/,""
飯舘村,-4,low,"飯舘村第10期高齢者保健福祉計画・第9期介護保険事業計画（案） への御意見及び回答について",https://www.vill.iitate.fukushima.jp/soshiki/11/10895.html,"2024年3月19日"
